Loading base network...
Initializing weights...
Loading Dataset...
Training SSD_mobilenet ssd_new_mobilenet_FFA on Oxford hand dataset with multibox loss
Data augmentaion: v2
Timer: 3.3360 sec.
iter 7800 || lr: 0.001000  || loc_loss: 8.2777  || cls_loss: 2.5401  Timer: 0.0848 sec.
iter 7900 || lr: 0.001000  || loc_loss: 7.8643  || cls_loss: 2.0848  Timer: 0.0652 sec.
iter 8000 || lr: 0.001000  || loc_loss: 5.5688  || cls_loss: 2.1441  Timer: 0.0759 sec.
iter 8100 || lr: 0.001000  || loc_loss: 7.0955  || cls_loss: 2.4335  Timer: 0.0753 sec.
iter 8200 || lr: 0.001000  || loc_loss: 6.0814  || cls_loss: 2.1365  Timer: 0.0686 sec.
iter 8300 || lr: 0.001000  || loc_loss: 11.2344  || cls_loss: 2.1700  Timer: 0.0737 sec.
iter 8400 || lr: 0.001000  || loc_loss: 7.9738  || cls_loss: 2.3411  Timer: 0.0710 sec.
iter 8500 || lr: 0.001000  || loc_loss: 5.3621  || cls_loss: 2.2005  Timer: 0.0644 sec.
iter 8600 || lr: 0.001000  || loc_loss: 6.9319  || cls_loss: 2.2349  Timer: 0.0711 sec.
iter 8700 || lr: 0.001000  || loc_loss: 4.5987  || cls_loss: 2.1075  Timer: 0.0680 sec.
iter 8800 || lr: 0.001000  || loc_loss: 6.8405  || cls_loss: 2.2338  Timer: 0.0696 sec.
iter 8900 || lr: 0.001000  || loc_loss: 6.0703  || cls_loss: 2.2098  Timer: 0.0802 sec.
iter 9000 || lr: 0.001000  || loc_loss: 5.7374  || cls_loss: 2.0979  Timer: 0.0626 sec.
iter 9100 || lr: 0.001000  || loc_loss: 4.5745  || cls_loss: 1.9592  Timer: 0.0760 sec.
iter 9200 || lr: 0.001000  || loc_loss: 5.0501  || cls_loss: 2.1427  Timer: 0.0786 sec.
iter 9300 || lr: 0.001000  || loc_loss: 5.7709  || cls_loss: 1.8949  Timer: 0.0754 sec.
iter 9400 || lr: 0.001000  || loc_loss: 5.5392  || cls_loss: 2.1712  Timer: 0.0889 sec.
iter 9500 || lr: 0.001000  || loc_loss: 5.7191  || cls_loss: 2.1302  Timer: 0.0731 sec.
iter 9600 || lr: 0.001000  || loc_loss: 5.7222  || cls_loss: 2.2340  Timer: 0.0798 sec.
iter 9700 || lr: 0.001000  || loc_loss: 6.8325  || cls_loss: 2.3389  Timer: 0.0646 sec.
iter 9800 || lr: 0.001000  || loc_loss: 4.2700  || cls_loss: 2.2205  Timer: 0.0631 sec.
iter 9900 || lr: 0.001000  || loc_loss: 5.4422  || cls_loss: 2.1845  Timer: 0.0836 sec.
iter 10000 || lr: 0.001000  || loc_loss: 6.7444  || cls_loss: 2.1316  Saving state, iter: 10000
Timer: 0.0638 sec.
iter 10100 || lr: 0.001000  || loc_loss: 4.9373  || cls_loss: 2.0827  Timer: 0.0747 sec.
iter 10200 || lr: 0.001000  || loc_loss: 8.3495  || cls_loss: 2.1191  Timer: 0.0645 sec.
iter 10300 || lr: 0.001000  || loc_loss: 7.3810  || cls_loss: 1.9569  Timer: 0.0731 sec.
iter 10400 || lr: 0.001000  || loc_loss: 6.7633  || cls_loss: 2.3295  Timer: 0.0664 sec.
iter 10500 || lr: 0.001000  || loc_loss: 4.8611  || cls_loss: 1.9860  Timer: 0.0875 sec.
iter 10600 || lr: 0.001000  || loc_loss: 5.2563  || cls_loss: 2.2951  Timer: 0.0764 sec.
iter 10700 || lr: 0.001000  || loc_loss: 5.8333  || cls_loss: 2.2641  Timer: 0.0709 sec.
iter 10800 || lr: 0.001000  || loc_loss: 5.2197  || cls_loss: 2.1664  Timer: 0.0644 sec.
iter 10900 || lr: 0.001000  || loc_loss: 6.9567  || cls_loss: 2.0981  Timer: 0.0875 sec.
iter 11000 || lr: 0.001000  || loc_loss: 5.8954  || cls_loss: 2.1594  Timer: 0.0897 sec.
iter 11100 || lr: 0.001000  || loc_loss: 5.6940  || cls_loss: 2.0632  Timer: 0.0671 sec.
iter 11200 || lr: 0.001000  || loc_loss: 5.0931  || cls_loss: 2.1730  Timer: 0.0765 sec.
iter 11300 || lr: 0.001000  || loc_loss: 7.7145  || cls_loss: 2.1458  Timer: 0.0726 sec.
iter 11400 || lr: 0.001000  || loc_loss: 6.1440  || cls_loss: 2.1138  Timer: 0.0758 sec.
iter 11500 || lr: 0.001000  || loc_loss: 5.1014  || cls_loss: 1.9945  Timer: 0.0739 sec.
iter 11600 || lr: 0.001000  || loc_loss: 5.8955  || cls_loss: 2.0657  Timer: 0.0660 sec.
iter 11700 || lr: 0.001000  || loc_loss: 4.3072  || cls_loss: 2.1386  Timer: 0.0729 sec.
iter 11800 || lr: 0.001000  || loc_loss: 4.5247  || cls_loss: 1.9194  Timer: 0.0651 sec.
iter 11900 || lr: 0.001000  || loc_loss: 6.0324  || cls_loss: 1.9359  Timer: 0.0616 sec.
iter 12000 || lr: 0.001000  || loc_loss: 4.9136  || cls_loss: 2.2812  Timer: 0.0647 sec.
iter 12100 || lr: 0.001000  || loc_loss: 4.7943  || cls_loss: 1.9155  Timer: 0.0691 sec.
iter 12200 || lr: 0.001000  || loc_loss: 4.4049  || cls_loss: 2.1642  Timer: 0.0821 sec.
iter 12300 || lr: 0.001000  || loc_loss: 5.6196  || cls_loss: 2.3631  Timer: 0.0612 sec.
iter 12400 || lr: 0.001000  || loc_loss: 5.4968  || cls_loss: 2.1870  Timer: 0.0735 sec.
iter 12500 || lr: 0.001000  || loc_loss: 4.6733  || cls_loss: 2.0001  Timer: 0.0774 sec.
iter 12600 || lr: 0.001000  || loc_loss: 5.7907  || cls_loss: 2.0828  Timer: 0.0784 sec.
iter 12700 || lr: 0.001000  || loc_loss: 5.8380  || cls_loss: 2.1269  Timer: 0.0759 sec.
iter 12800 || lr: 0.001000  || loc_loss: 5.2719  || cls_loss: 2.1445  Timer: 0.0773 sec.
iter 12900 || lr: 0.001000  || loc_loss: 5.3473  || cls_loss: 1.9562  Timer: 0.0774 sec.
iter 13000 || lr: 0.001000  || loc_loss: 5.2957  || cls_loss: 2.1184  Timer: 0.0769 sec.
iter 13100 || lr: 0.001000  || loc_loss: 7.7431  || cls_loss: 2.5618  Timer: 0.0647 sec.
iter 13200 || lr: 0.001000  || loc_loss: 5.6992  || cls_loss: 2.3766  Timer: 0.0764 sec.
iter 13300 || lr: 0.001000  || loc_loss: 3.6480  || cls_loss: 1.9688  Timer: 0.0676 sec.
iter 13400 || lr: 0.001000  || loc_loss: 5.0602  || cls_loss: 2.0803  Timer: 0.0671 sec.
iter 13500 || lr: 0.001000  || loc_loss: 4.0250  || cls_loss: 1.9403  Timer: 0.0623 sec.
iter 13600 || lr: 0.001000  || loc_loss: 5.4829  || cls_loss: 2.0033  Timer: 0.0743 sec.
iter 13700 || lr: 0.001000  || loc_loss: 5.2035  || cls_loss: 2.0551  Timer: 0.0701 sec.
iter 13800 || lr: 0.001000  || loc_loss: 5.9353  || cls_loss: 2.1842  Timer: 0.0678 sec.
iter 13900 || lr: 0.001000  || loc_loss: 6.6430  || cls_loss: 2.0580  Timer: 0.0670 sec.
iter 14000 || lr: 0.001000  || loc_loss: 6.0762  || cls_loss: 2.2026  Timer: 0.0686 sec.
iter 14100 || lr: 0.001000  || loc_loss: 7.4948  || cls_loss: 2.0072  Timer: 0.0723 sec.
iter 14200 || lr: 0.001000  || loc_loss: 5.5866  || cls_loss: 2.2142  Timer: 0.0721 sec.
iter 14300 || lr: 0.001000  || loc_loss: 6.4061  || cls_loss: 2.1308  Timer: 0.0691 sec.
iter 14400 || lr: 0.001000  || loc_loss: 6.1013  || cls_loss: 2.0896  Timer: 0.0692 sec.
iter 14500 || lr: 0.001000  || loc_loss: 5.8553  || cls_loss: 2.0358  Timer: 0.0743 sec.
iter 14600 || lr: 0.001000  || loc_loss: 4.6064  || cls_loss: 1.9184  Timer: 0.0696 sec.
iter 14700 || lr: 0.001000  || loc_loss: 6.1364  || cls_loss: 2.2545  Timer: 0.0674 sec.
iter 14800 || lr: 0.001000  || loc_loss: 5.0918  || cls_loss: 2.1855  Timer: 0.0789 sec.
iter 14900 || lr: 0.001000  || loc_loss: 4.8210  || cls_loss: 2.1114  Timer: 0.0627 sec.
iter 15000 || lr: 0.001000  || loc_loss: 6.8297  || cls_loss: 2.5103  Saving state, iter: 15000
Timer: 0.0727 sec.
iter 15100 || lr: 0.001000  || loc_loss: 6.0892  || cls_loss: 2.0640  Timer: 0.0668 sec.
iter 15200 || lr: 0.001000  || loc_loss: 5.5112  || cls_loss: 2.0436  Timer: 0.0728 sec.
iter 15300 || lr: 0.001000  || loc_loss: 5.7404  || cls_loss: 2.0359  Timer: 0.0656 sec.
iter 15400 || lr: 0.001000  || loc_loss: 5.6387  || cls_loss: 1.9826  Timer: 0.0611 sec.
iter 15500 || lr: 0.001000  || loc_loss: 4.9592  || cls_loss: 1.9367  Timer: 0.0802 sec.
iter 15600 || lr: 0.001000  || loc_loss: 7.3088  || cls_loss: 2.1802  Timer: 0.0743 sec.
iter 15700 || lr: 0.001000  || loc_loss: 4.6023  || cls_loss: 1.9467  Timer: 0.0643 sec.
iter 15800 || lr: 0.001000  || loc_loss: 5.9278  || cls_loss: 2.2267  Timer: 0.0768 sec.
iter 15900 || lr: 0.001000  || loc_loss: 5.7102  || cls_loss: 2.2079  Timer: 0.0637 sec.
iter 16000 || lr: 0.001000  || loc_loss: 5.8926  || cls_loss: 2.1368  Timer: 0.0708 sec.
iter 16100 || lr: 0.001000  || loc_loss: 4.3019  || cls_loss: 2.1079  Timer: 0.0705 sec.
iter 16200 || lr: 0.001000  || loc_loss: 7.6695  || cls_loss: 2.2963  Timer: 0.0742 sec.
iter 16300 || lr: 0.001000  || loc_loss: 4.7507  || cls_loss: 2.2179  Timer: 0.0688 sec.
iter 16400 || lr: 0.001000  || loc_loss: 3.7905  || cls_loss: 1.8722  Timer: 0.0673 sec.
iter 16500 || lr: 0.001000  || loc_loss: 4.9954  || cls_loss: 2.0603  Timer: 0.0692 sec.
iter 16600 || lr: 0.001000  || loc_loss: 5.1031  || cls_loss: 2.0554  Timer: 0.0676 sec.
iter 16700 || lr: 0.001000  || loc_loss: 4.9194  || cls_loss: 1.9879  Timer: 0.0640 sec.
iter 16800 || lr: 0.001000  || loc_loss: 4.5610  || cls_loss: 1.8548  Timer: 0.0704 sec.
iter 16900 || lr: 0.001000  || loc_loss: 5.6672  || cls_loss: 2.1733  Timer: 0.0633 sec.
iter 17000 || lr: 0.001000  || loc_loss: 4.3959  || cls_loss: 2.0833  Timer: 0.0717 sec.
iter 17100 || lr: 0.001000  || loc_loss: 6.6655  || cls_loss: 2.2668  Timer: 0.0659 sec.
iter 17200 || lr: 0.001000  || loc_loss: 5.5060  || cls_loss: 2.0694  Timer: 0.0650 sec.
iter 17300 || lr: 0.001000  || loc_loss: 5.9717  || cls_loss: 2.1851  Timer: 0.0706 sec.
iter 17400 || lr: 0.001000  || loc_loss: 4.0218  || cls_loss: 1.8616  Timer: 0.0701 sec.
iter 17500 || lr: 0.001000  || loc_loss: 5.5887  || cls_loss: 2.0356  Timer: 0.0667 sec.
